sensor_id,lat,lon
591_1_464,36.074387,-11.5287582
591_2_466,36.081818,-11.5287834
592_1_468,36.088860,-11.5287979
592_2_470,36.096317,-11.5289909
593_1_472,36.104706,-11.5293892
593_2_474,36.112247,-11.5298492
594_1_476,36.117493,-11.5307831
594_2_478,36.121307,-11.5320396
595_1_481,36.126274,-11.5329712
595_2_482,36.137154,-11.5334618
596_1_485,36.147812,-11.5335876
596_2_487,36.155159,-11.5336189
597_1_488,36.164009,-11.5336395
597_2_490,36.173367,-11.5337234
598_1_492,36.180542,-11.5339294
599_1_495,36.194817,-11.5340836
599_2_497,36.201954,-11.5340126
600_1_500,36.208138,-11.5337509
600_2_502,36.214603,-11.5331284
601_1_503,36.221779,-11.5326172
