sensor_id,lat,lon
451_1_99,35.608902,-11.5387672
450_1_99,35.616440,-11.5384872
450_2_359,35.801907,-11.5311478
449_1_358,35.625156,-11.5382828
449_2_357,35.635277,-11.5380783
449_3_356,35.646900,-11.5378632
448_1_355,35.656910,-11.5377014
448_2_354,35.664124,-11.5375832
448_3_353,35.671871,-11.5374756
447_1_352,35.680267,-11.5373245
447_2_351,35.688557,-11.5370987
447_3_77,35.698135,-11.5367973
446_1_350,35.711700,-11.5363449
446_2_78,35.727520,-11.5358177
446_3_349,35.741192,-11.5352364
445_1_348,35.754215,-11.5344826
445_2_347,35.765518,-11.5336861
445_3_346,35.775421,-11.5329437
444_1_100,35.785168,-11.5322273
444_2_100,35.868797,-11.5243790
444_3_345,35.872078,-11.5240128
443_1_344,35.795418,-11.5314735
443_2_343,35.805763,-11.5307053
443_3_342,35.815964,-11.5299660
442_1_341,35.825722,-11.5291283
442_2_340,35.836361,-11.5280052
442_3_339,35.847004,-11.5267967
441_1_338,35.857288,-11.5256645
441_2_337,35.867069,-11.5245674
441_3_336,35.875626,-11.5235802
440_1_335,35.883430,-11.5227013
439_2_333,35.899193,-11.5213799
439_3_332,35.906227,-11.5209244
438_1_331,35.913696,-11.5204216
438_2_330,35.920765,-11.5198830
438_3_329,35.927193,-11.5194054
437_1_101,35.938343,-11.5186790
437_3_327,35.960361,-11.5179787
358_1_325,35.970951,-11.5180099
358_3_319,35.982548,-11.5180038
357_3_310,35.997017,-11.5179733
356_1_309,36.002796,-11.5179733
356_2_308,36.012943,-11.5179810
356_3_313,36.017029,-11.5179832
355_1_156,36.023006,-11.5179787
355_2_153,36.026661,-11.5179756
355_3_155,36.031994,-11.5179779
354_1_79,36.038078,-11.5179817
354_2_144,36.043228,-11.5179817
354_3_145,36.048069,-11.5179810
32_1_142,36.051941,-11.5179794
34_1_94,36.056274,-11.5179817
34_2_90,36.060955,-11.5179810
39_2_88,36.065613,-11.5179810
48_2_83,36.072868,-11.5179810
49_1_82,36.080093,-11.5179802
49_2_12,36.084270,-11.5179794
49_3_15,36.088192,-11.5179825
58_2_17,36.091942,-11.5179810
59_1_18,36.097027,-11.5179779
59_2_18,36.102234,-11.5179771
70_2_21,36.106853,-11.5179741
71_2_23,36.111671,-11.5179718
72_1_22,36.117863,-11.5179695
72_2_28,36.117638,-11.5179726
89_1_28,36.123905,-11.5179688
89_2_30,36.127480,-11.5179680
97_1_33,36.130348,-11.5179474
97_2_33,36.133587,-11.5178215
97_3_38,36.138489,-11.5174706
99_1_35,36.144352,-11.5169609
110_1_41,36.150986,-11.5163765
112_2_44,36.156330,-11.5159843
113_2_45,36.159657,-11.5159103
122_2_48,36.164787,-11.5158470
124_2_49,36.171608,-11.5155403
137_1_80,36.176270,-11.5150932
138_1_53,36.178967,-11.5146538
138_2_55,36.182571,-11.5143311
146_2_238,36.188938,-11.5140594
148_2_58,36.194534,-11.5138039
149_2_240,36.198105,-11.5136398
160_1_241,36.204491,-11.5132385
160_2_242,36.204201,-11.5132561
396_1_243,36.210205,-11.5128151
396_2_246,36.214550,-11.5124962
396_3_246,36.218506,-11.5122063
397_1_247,36.223427,-11.5118408
397_2_248,36.229324,-11.5113106
398_1_249,36.233910,-11.5107933
398_2_251,36.237518,-11.5103569
398_3_411,36.240891,-11.5099449
399_1_413,36.244354,-11.5095238
399_2_414,36.247791,-11.5091049
399_3_417,36.251041,-11.5087006
399_4_418,36.254612,-11.5082558
400_1_423,36.258663,-11.5077408
400_2_425,36.262596,-11.5072289
400_3_430,36.265778,-11.5067024
400_4_431,36.267986,-11.5062225
401_1_435,36.269333,-11.5058411
401_2_437,36.270817,-11.5054756
402_1_438,36.273136,-11.5048553
402_2_439,36.275883,-11.5040825
402_3_443,36.278515,-11.5033981
402_4_444,36.280880,-11.5027916
403_1_447,36.283272,-11.5021881
403_2_533,36.285534,-11.5015923
403_3_534,36.287430,-11.5010963
403_4_535,36.302502,-11.4972603
403_5_536,36.309502,-11.4954399
