sensor_id,lat,lon
696_2_539,36.283272,-11.5021881
575_1_537,36.289131,-11.5012016
575_2_535,36.287144,-11.5017410
575_3_540,36.284855,-11.5023399
575_4_533,36.284855,-11.5023399
575_5_446,36.284855,-11.5023399
395_1_445,36.283051,-11.5027939
395_2_442,36.281700,-11.5031487
395_3_441,36.280075,-11.5035942
395_4_440,36.278439,-11.5040359
394_1_434,36.275742,-11.5047493
394_2_433,36.272144,-11.5057076
393_1_432,36.269493,-11.5064095
393_2_429,36.267639,-11.5068398
393_3_428,36.264824,-11.5073067
393_4_426,36.261211,-11.5077705
392_1_421,36.257927,-11.5081650
392_2_420,36.255314,-11.5084908
392_3_416,36.252354,-11.5088608
391_1_415,36.249130,-11.5092682
390_2_250,36.236954,-11.5107506
390_3_249,36.234589,-11.5110382
389_1_248,36.231594,-11.5113953
389_2_247,36.226406,-11.5118752
388_1_245,36.219780,-11.5123840
388_2_244,36.214657,-11.5127548
388_3_243,36.210655,-11.5130501
161_1_242,36.206600,-11.5133553
161_2_241,36.202347,-11.5136703
155_1_240,36.198769,-11.5139084
155_2_239,36.195721,-11.5140450
156_2_57,36.193386,-11.5141426
147_2_56,36.188320,-11.5143387
142_1_55,36.182632,-11.5145798
142_2_54,36.179825,-11.5148926
132_1_80,36.176147,-11.5153961
136_2_47,36.170994,-11.5158516
123_2_50,36.165977,-11.5160645
117_1_46,36.159752,-11.5161598
117_3_43,36.154461,-11.5163368
111_1_42,36.150745,-11.5166634
102_1_40,36.146675,-11.5170212
98_2_34,36.138695,-11.5177200
98_3_32,36.134529,-11.5180176
91_1_31,36.130676,-11.5181374
91_2_29,36.126385,-11.5181648
92_2_27,36.122280,-11.5181648
76_2_26,36.117813,-11.5181641
77_2_24,36.113506,-11.5181648
78_2_20,36.108498,-11.5181664
64_1_19,36.102940,-11.5181648
69_1_52,36.098507,-11.5181633
69_2_16,36.093395,-11.5181656
56_1_14,36.088310,-11.5181633
57_1_13,36.084335,-11.5181664
57_2_11,36.078690,-11.5181656
57_3_10,36.073254,-11.5181656
40_1_9,36.068180,-11.5181686
41_1_95,36.063103,-11.5181702
41_2_140,36.059673,-11.5181702
17_2_141,36.054279,-11.5181717
348_1_149,36.048046,-11.5181717
348_2_151,36.043022,-11.5181709
348_3_150,36.038227,-11.5181702
349_1_154,36.033123,-11.5181702
349_3_152,36.025806,-11.5181717
350_1_158,36.019108,-11.5181717
350_2_159,36.015350,-11.5181740
350_3_314,36.009888,-11.5181770
351_1_315,36.002720,-11.5181778
351_2_316,35.997177,-11.5181778
351_3_317,35.992752,-11.5181747
352_1_318,35.987309,-11.5181839
352_2_321,35.981705,-11.5181931
352_3_322,35.977188,-11.5182121
353_1_323,35.972111,-11.5182365
353_2_324,35.965275,-11.5182549
422_1_326,35.954628,-11.5183296
422_2_328,35.939495,-11.5189049
423_1_329,35.928230,-11.5196198
423_2_330,35.922382,-11.5200531
423_3_331,35.915974,-11.5205200
424_1_332,35.908859,-11.5210190
424_2_333,35.900936,-11.5215630
424_3_334,35.891651,-11.5222626
425_1_335,35.884811,-11.5229034
426_1_336,35.877960,-11.5236977
426_2_337,35.868610,-11.5247597
426_3_338,35.859257,-11.5258492
427_1_339,35.849739,-11.5269882
427_2_340,35.839199,-11.5282166
427_3_341,35.828171,-11.5294418
428_1_342,35.818348,-11.5303490
428_2_343,35.808693,-11.5310822
428_3_344,35.798351,-11.5318451
429_1_345,35.787861,-11.5326668
430_1_346,35.777370,-11.5334366
430_2_347,35.767834,-11.5341194
430_3_348,35.757050,-11.5348969
431_1_349,35.743847,-11.5356888
431_2_78,35.728954,-11.5363495
431_3_350,35.713551,-11.5368843
432_1_77,35.699982,-11.5373466
432_2_351,35.690296,-11.5376472
432_3_352,35.681717,-11.5378899
433_1_353,35.673061,-11.5380730
433_2_354,35.665066,-11.5381905
433_3_355,35.657581,-11.5382927
434_1_356,35.647751,-11.5384323
434_2_357,35.636456,-11.5386528
434_3_358,35.626114,-11.5388359
435_1_359,35.616943,-11.5390190
436_1_99,35.610416,-11.5391876
