sensor_id,lat,lon
505_1_274,36.065781,-11.5274490
505_2_273,36.065754,-11.5265137
506_1_272,36.065754,-11.5256035
506_2_271,36.065754,-11.5246925
507_1_270,36.065708,-11.5238068
507_2_269,36.065708,-11.5229034
2_1_268,36.066097,-11.5220322
2_2_267,36.066612,-11.5211998
4_1_1,36.067184,-11.5202301
4_2_4,36.066456,-11.5193939
5_1_6,36.064831,-11.5187943
6_2_264,36.062496,-11.5175278
26_1_97,36.062523,-11.5171242
26_2_98,36.062252,-11.5159912
479_1_262,36.053452,-11.5139900
479_2_261,36.046272,-11.5136330
480_1_121,36.038097,-11.5134323
480_2_122,36.029713,-11.5131531
480_3_123,36.023846,-11.5123817
481_1_124,36.022228,-11.5114349
481_2_194,36.022152,-11.5105576
482_1_236,36.021961,-11.5096565
482_2_237,36.022537,-11.5088646
483_1_253,36.023907,-11.5078430
483_2_254,36.025269,-11.5067917
484_1_255,36.026371,-11.5058601
484_2_256,36.027367,-11.5051323
485_1_257,36.028381,-11.5042641
485_2_258,36.029465,-11.5034424
486_1_259,36.030331,-11.5026588
486_2_260,36.031311,-11.5019684
