sensor_id,lat,lon
487_1_260,36.034538,-11.5020409
487_2_259,36.033829,-11.5025803
488_1_258,36.032898,-11.5033661
488_2_257,36.031796,-11.5041946
489_1_256,36.030457,-11.5050743
489_2_255,36.029415,-11.5058922
490_1_254,36.028236,-11.5068886
490_2_253,36.026680,-11.5080078
491_1_237,36.025848,-11.5088760
491_2_236,36.025196,-11.5096085
492_1_194,36.025352,-11.5105110
492_2_124,36.025242,-11.5113945
493_1_123,36.027939,-11.5124443
493_2_122,36.034412,-11.5131256
493_3_121,36.040161,-11.5132896
476_1_261,36.046448,-11.5133949
476_2_262,36.053837,-11.5136993
477_1_263,36.060726,-11.5144356
25_2_97,36.064545,-11.5171570
7_1_264,36.064514,-11.5175552
8_1_7,36.065727,-11.5183952
8_2_5,36.066944,-11.5188049
9_1_3,36.068062,-11.5191566
9_3_2,36.069210,-11.5203293
10_1_267,36.068619,-11.5211891
10_2_268,36.068153,-11.5219978
502_1_269,36.067787,-11.5228722
502_2_270,36.067616,-11.5237869
503_1_271,36.067394,-11.5247002
503_2_272,36.067299,-11.5256081
504_1_273,36.067249,-11.5265236
504_2_274,36.067223,-11.5274590
