sensor_id,lat,lon
387_1_407,35.991123,-11.4926819
387_2_406,35.993885,-11.4930038
387_4_400,35.997265,-11.4936111
386_1_399,35.999386,-11.4942390
386_2_398,36.000839,-11.4949318
386_3_396,36.000996,-11.4954262
386_4_395,36.000988,-11.4958450
385_1_390,36.000961,-11.4963165
385_2_389,36.000900,-11.4967476
385_3_387,36.001297,-11.4972900
384_1_384,36.002712,-11.4978539
384_2_383,36.004982,-11.4982529
383_1_377,36.012531,-11.4989532
383_2_375,36.016521,-11.4993095
383_3_374,36.020061,-11.4997391
382_1_373,36.023708,-11.5001656
382_2_370,36.026310,-11.5004547
382_3_369,36.028038,-11.5006569
381_3_102,36.032516,-11.5011650
380_1_306,36.034870,-11.5014351
380_2_105,36.037346,-11.5016899
379_1_109,36.040874,-11.5019302
379_2_302,36.044582,-11.5020988
378_1_301,36.048882,-11.5022644
378_2_299,36.054028,-11.5024994
378_3_298,36.058208,-11.5027351
378_4_130,36.061897,-11.5029564
377_1_162,36.065586,-11.5031738
377_2_296,36.069134,-11.5033882
376_1_134,36.074402,-11.5037216
376_3_291,36.083057,-11.5047173
375_2_164,36.088257,-11.5059525
374_2_169,36.094456,-11.5075203
374_3_287,36.098076,-11.5079071
222_1_172,36.103977,-11.5081161
222_2_285,36.111336,-11.5081581
219_1_284,36.118607,-11.5082230
219_2_282,36.123962,-11.5083687
219_4_361,36.132233,-11.5088356
215_1_278,36.137257,-11.5089462
215_2_362,36.142105,-11.5090027
215_3_277,36.148129,-11.5090218
215_4_366,36.155361,-11.5090256
211_1_275,36.161983,-11.5091713
211_2_61,36.166550,-11.5095650
211_3_61,36.168480,-11.5101845
207_1_63,36.168842,-11.5108620
207_2_63,36.168774,-11.5113792
203_1_65,36.168755,-11.5119362
203_2_67,36.169525,-11.5125519
203_3_68,36.171497,-11.5130424
203_4_69,36.173576,-11.5135017
198_1_70,36.174747,-11.5138443
200_1_39,36.175884,-11.5142181
191_1_73,36.176456,-11.5145958
179_2_75,36.175972,-11.5148460
181_1_80,36.175358,-11.5154671
163_1_72,36.176762,-11.5174332
326_1_72,36.176769,-11.5179863
326_2_195,36.177101,-11.5185204
328_1_195,36.177509,-11.5190338
328_2_202,36.177124,-11.5194443
335_2_207,36.175797,-11.5199181
339_2_203,36.174679,-11.5205757
344_1_203,36.174561,-11.5211006
413_1_208,36.174557,-11.5215279
413_2_208,36.174557,-11.5221161
413_3_204,36.174557,-11.5227097
414_1_209,36.174557,-11.5232910
414_2_209,36.175037,-11.5238228
414_3_223,36.177242,-11.5242004
415_1_223,36.180851,-11.5243309
415_2_214,36.185558,-11.5243347
415_3_215,36.190811,-11.5243340
416_1_215,36.196064,-11.5243347
416_2_224,36.201305,-11.5243340
416_3_216,36.205891,-11.5243446
417_1_216,36.210278,-11.5244209
417_2_230,36.215084,-11.5245232
417_3_230,36.219933,-11.5245598
418_1_225,36.225014,-11.5245598
418_2_225,36.230110,-11.5245598
418_3_234,36.234528,-11.5245598
419_1_234,36.239140,-11.5245598
419_2_217,36.243984,-11.5245598
419_3_217,36.248627,-11.5245590
420_1_231,36.253799,-11.5246048
420_2_160,36.258560,-11.5248100
420_3_160,36.262413,-11.5251389
421_1_505,36.266251,-11.5254883
421_2_506,36.270187,-11.5258492
452_1_508,36.276402,-11.5265198
453_2_510,36.285400,-11.5273598
453_3_511,36.289101,-11.5276901
454_1_512,36.292801,-11.5280403
454_2_513,36.296200,-11.5283501
455_1_514,36.299400,-11.5286400
