sensor_id,lat,lon
690_1_524,36.295898,-11.5284103
690_2_523,36.292500,-11.5280998
689_1_522,36.288700,-11.5277603
689_2_521,36.285099,-11.5274300
689_3_520,36.280800,-11.5270401
688_2_519,36.276299,-11.5266197
412_1_518,36.273361,-11.5264442
412_2_517,36.269363,-11.5260788
412_3_515,36.265221,-11.5257004
411_1_229,36.261669,-11.5253853
411_2_222,36.257820,-11.5250565
411_3_222,36.253151,-11.5248238
410_1_235,36.248531,-11.5247787
410_2_235,36.243996,-11.5247787
410_3_228,36.239086,-11.5247787
409_1_221,36.234154,-11.5247787
409_2_221,36.229538,-11.5247787
409_3_409,36.224815,-11.5247787
408_1_227,36.219830,-11.5247787
408_2_220,36.215004,-11.5247505
408_3_226,36.210091,-11.5246544
407_1_226,36.205505,-11.5245720
407_3_233,36.195885,-11.5245560
406_1_219,36.190781,-11.5245560
406_2_232,36.185757,-11.5245560
406_3_232,36.180836,-11.5245491
406_4_218,36.174999,-11.5245300
405_1_213,36.176113,-11.5243599
405_2_206,36.173073,-11.5238632
405_3_206,36.172398,-11.5232666
404_1_200,36.172398,-11.5226913
404_2_212,36.172398,-11.5221092
404_3_212,36.172398,-11.5215530
343_1_199,36.172394,-11.5209534
337_2_211,36.172485,-11.5203888
334_2_211,36.173325,-11.5199471
329_2_198,36.174534,-11.5195152
327_1_205,36.174953,-11.5190407
327_2_205,36.174713,-11.5182785
162_1_197,36.174610,-11.5175964
166_1_210,36.174610,-11.5167198
168_2_196,36.174316,-11.5162186
172_1_51,36.173569,-11.5157326
192_2_74,36.173920,-11.5143112
194_1_71,36.173317,-11.5141418
202_1_69,36.171585,-11.5135986
202_2_68,36.169159,-11.5130623
202_3_67,36.167259,-11.5124886
202_4_66,36.166740,-11.5118889
204_1_64,36.166718,-11.5113708
204_2_62,36.166718,-11.5108643
210_1_62,36.166275,-11.5101906
210_2_59,36.164551,-11.5095940
210_3_59,36.161079,-11.5092842
212_1_276,36.155300,-11.5091934
212_2_364,36.149048,-11.5091827
212_3_279,36.144207,-11.5091743
212_4_363,36.139385,-11.5091408
218_1_280,36.133095,-11.5090347
218_2_360,36.127853,-11.5088669
218_3_282,36.124130,-11.5086311
218_4_173,36.118610,-11.5084091
220_1_283,36.111290,-11.5083214
220_2_286,36.103970,-11.5082916
360_1_171,36.097572,-11.5080788
360_2_288,36.092979,-11.5075981
360_3_165,36.089886,-11.5071121
361_1_166,36.087826,-11.5066620
361_2_293,36.086498,-11.5060921
361_3_290,36.084278,-11.5054420
362_1_132,36.081184,-11.5048042
362_2_131,36.077934,-11.5043030
362_3_129,36.073479,-11.5039276
363_1_297,36.069111,-11.5036423
363_2_161,36.065548,-11.5034241
364_1_300,36.060116,-11.5030922
364_2_127,36.053440,-11.5027077
364_3_126,36.048111,-11.5024529
365_2_304,36.041840,-11.5021873
365_3_305,36.035671,-11.5018234
366_1_103,36.032513,-11.5015388
367_1_367,36.028099,-11.5010185
367_2_368,36.025566,-11.5007309
367_3_371,36.022102,-11.5003250
368_1_372,36.019341,-11.5000038
368_2_379,36.016884,-11.4996819
368_3_381,36.013451,-11.4992943
369_1_382,36.024338,-11.5006241
369_2_385,36.021805,-11.5003365
370_1_386,36.008484,-11.4988625
370_2_388,36.004002,-11.4984612
370_3_391,36.001171,-11.4979691
371_1_392,35.999531,-11.4973412
371_2_393,35.999123,-11.4964691
371_3_397,35.999153,-11.4954269
371_4_402,35.998596,-11.4946289
372_1_404,35.996883,-11.4940163
372_2_405,35.994881,-11.4935150
372_3_408,35.992817,-11.4931015
